id,"sid","cve","os","org","flavor"
121,"17374","CVE-2007-1912","Windows","microsoft","2000"
122,"17508","CVE-2006-6696","Windows","microsoft","2000"
123,"17509","CVE-2006-6696","Windows","microsoft","2000"
124,"17510","CVE-2006-6696","Windows","microsoft","2000"
125,"17664","CVE-2007-1071","Mac OS X","apple","10.x"
126,"17712","CVE-2006-5584","Windows","microsoft","2000"
127,"17723","CVE-2010-0231","Windows","microsoft","2000"
128,"17738","CVE-2006-2444","Linux","linux","2.6"
129,"17753","CVE-2010-3225","Windows","microsoft","Vista"
130,"18277","CVE-2010-3145","Windows","microsoft","Vista"
131,"18278","CVE-2010-3145","Windows","microsoft","Vista"
132,"18408","CVE-2011-0045","Windows","microsoft","XP"
133,"18413","CVE-2011-0045","Windows","microsoft","XP"
134,"18498","CVE-2011-0042","Windows","microsoft","Vista"
135,"18510","CVE-2010-0519","Mac OS X","apple","10.x"
136,"18542","CVE-2010-0268","Windows","microsoft","2000"
137,"18583","CVE-2007-3034","Windows","microsoft","XP"
138,"18668","CVE-2011-1243","Windows","microsoft","XP"
139,"18997","CVE-2010-0008","Linux","linux","2.6"
140,"19130","CVE-2010-0028","Windows","microsoft","2000"
141,"19174","CVE-2007-3033","Windows","microsoft","Vista"
142,"19203","CVE-2010-0483","Windows","microsoft","2000"
143,"19204","CVE-2010-0483","Windows","microsoft","2000"
144,"19212","CVE-2010-3227","Windows","microsoft","Vista"
145,"19403","CVE-2010-2553","Windows","microsoft","Vista"
146,"19469","CVE-2011-1886","Windows","microsoft","XP"
147,"20212","CVE-2011-3389","Windows","microsoft","*"
148,"20734","CVE-2011-3401","Windows","microsoft","Vista"
149,"20744","CVE-2008-0015","Windows","microsoft","XP"
150,"20824","CVE-2011-3414","Windows","microsoft","XP"
151,"20828","CVE-2011-3415","Windows","microsoft","XP"
152,"20829","CVE-2011-3416","Windows","microsoft","XP"
153,"20878","CVE-2012-0009","Windows","microsoft","XP"
154,"20879","CVE-2012-0009","Windows","microsoft","XP"
155,"20881","CVE-2012-0013","Windows","microsoft","XP"
156,"20882","CVE-2012-0013","Windows","microsoft","XP"
157,"20883","CVE-2012-0013","Windows","microsoft","XP"
158,"20900","CVE-2012-0003","Windows","microsoft","XP"
159,"21159","CVE-2012-0003","Windows","microsoft","XP"
160,"21167","CVE-2012-0003","Windows","microsoft","XP"
161,"21308","CVE-2012-0150","Windows","microsoft","Vista"
162,"21484","CVE-2010-3227","Windows","microsoft","Vista"
163,"21504","CVE-2012-0013","Windows","microsoft","XP"
164,"21505","CVE-2012-0013","Windows","microsoft","XP"
165,"21506","CVE-2012-0013","Windows","microsoft","XP"
166,"21507","CVE-2012-0013","Windows","microsoft","XP"
167,"21508","CVE-2012-0013","Windows","microsoft","XP"
168,"21529","CVE-2008-4038","Windows","microsoft","XP"
169,"21766","CVE-2007-0462","Mac OS X","apple","10.x"
170,"21879","CVE-2008-4268","Windows","microsoft","Vista"
171,"21880","CVE-2008-4268","Windows","microsoft","Vista"
172,"23170","CVE-2012-0659","Mac OS X","apple","10.x"
173,"23581","CVE-2012-0659","Mac OS X","apple","10.x"
174,"23839","CVE-2012-1853","Windows","microsoft","XP"
175,"23846","CVE-2012-2526","Windows","microsoft","XP"
176,"23999","CVE-2012-0003","Windows","microsoft","XP"
177,"24000","CVE-2012-0003","Windows","microsoft","XP"
178,"24001","CVE-2012-0003","Windows","microsoft","XP"
179,"24002","CVE-2012-0003","Windows","microsoft","XP"
180,"24003","CVE-2012-0003","Windows","microsoft","XP"
181,"24007","CVE-2012-1853","Windows","microsoft","XP"
182,"24336","CVE-2012-1852","Windows","microsoft","XP"
183,"24370","CVE-2010-3301","Linux","linux","2.6"
184,"24371","CVE-2010-3301","Linux","linux","2.6"
185,"25250","CVE-2011-3416","Windows","microsoft","XP"
186,"25251","CVE-2011-3416","Windows","microsoft","XP"
187,"25270","CVE-2013-0006","Windows","microsoft","XP"
188,"25275","CVE-2013-0007","Windows","microsoft","XP"
189,"25314","CVE-2012-0207","Linux","linux","2.6"
190,"25502","CVE-2008-3012","Windows","microsoft","XP"
191,"25774","CVE-2013-0075","Windows","microsoft","Vista"
192,"25776","CVE-2013-0024","Windows","microsoft","Vista"
193,"25777","CVE-2013-0024","Windows","microsoft","Vista"
194,"25795","CVE-2013-0077","Windows","microsoft","XP"
195,"25796","CVE-2013-0077","Windows","microsoft","XP"
196,"25970","CVE-2013-0075","Windows","microsoft","Vista"
197,"26066","CVE-2012-0013","Windows","microsoft","XP"
198,"26067","CVE-2012-0013","Windows","microsoft","XP"
199,"26068","CVE-2012-0013","Windows","microsoft","XP"
200,"26069","CVE-2012-0013","Windows","microsoft","XP"
201,"26393","CVE-2011-1243","Windows","microsoft","XP"
202,"26632","CVE-2013-1305","Windows","microsoft","7 or 8"
203,"26645","CVE-2012-4929","Linux","debian","3.16"
204,"26922","CVE-2013-3660","Windows","microsoft","XP"
205,"27166","CVE-2007-1912","Windows","microsoft","2000"
206,"27167","CVE-2007-1912","Windows","microsoft","2000"
207,"27168","CVE-2007-1912","Windows","microsoft","2000"
208,"27205","CVE-2008-5232","Windows","microsoft","2000"
209,"27231","CVE-2013-3660","Windows","microsoft","XP"
210,"27525","CVE-2013-3174","Windows","microsoft","XP"
211,"27526","CVE-2013-3174","Windows","microsoft","XP"
212,"27527","CVE-2013-3174","Windows","microsoft","XP"
213,"27528","CVE-2013-3174","Windows","microsoft","XP"
214,"27529","CVE-2013-3174","Windows","microsoft","XP"
215,"27530","CVE-2013-3174","Windows","microsoft","XP"
216,"27618","CVE-2013-3181","Windows","microsoft","XP"
217,"27619","CVE-2013-3181","Windows","microsoft","XP"
218,"27624","CVE-2013-3183","Windows","microsoft","Vista"
219,"27800","CVE-2008-3008","Windows","microsoft","XP"
220,"28464","CVE-2013-3906","Windows","microsoft","Vista"
221,"28465","CVE-2013-3906","Windows","microsoft","Vista"
222,"28466","CVE-2013-3906","Windows","microsoft","Vista"
223,"28467","CVE-2013-3906","Windows","microsoft","Vista"
224,"28468","CVE-2013-3906","Windows","microsoft","Vista"
225,"28469","CVE-2013-3906","Windows","microsoft","Vista"
226,"28470","CVE-2013-3906","Windows","microsoft","Vista"
227,"28471","CVE-2013-3906","Windows","microsoft","Vista"
228,"28472","CVE-2013-3906","Windows","microsoft","Vista"
229,"28473","CVE-2013-3906","Windows","microsoft","Vista"
230,"28525","CVE-2013-3906","Windows","microsoft","Vista"
231,"28526","CVE-2013-3906","Windows","microsoft","Vista"
232,"28867","CVE-2013-5065","Windows","microsoft","XP"
233,"28868","CVE-2013-5065","Windows","microsoft","XP"
234,"28869","CVE-2013-5065","Windows","microsoft","XP"
235,"28870","CVE-2013-5065","Windows","microsoft","XP"
236,"28871","CVE-2013-5065","Windows","microsoft","XP"
237,"28872","CVE-2013-5065","Windows","microsoft","XP"
238,"28881","CVE-2013-5056","Windows","microsoft","XP"
239,"28882","CVE-2013-5056","Windows","microsoft","XP"
240,"28998","CVE-2013-6282","Linux","linux","3.3"
241,"28999","CVE-2013-6282","Linux","linux","3.3"
242,"29014","CVE-2010-0018","Windows","microsoft","2000"
243,"3-13448","CVE-2008-0083","Windows","microsoft","XP"
244,"3-13449","CVE-2008-0083","Windows","microsoft","XP"
245,"3-13450","CVE-2008-0084","Windows","microsoft","Vista"
246,"3-13666","CVE-2008-1083","Windows","microsoft","XP"
247,"3-13668","CVE-2008-1086","Windows","microsoft","XP"
248,"3-13669","CVE-2008-1086","Windows","microsoft","XP"
249,"3-13670","CVE-2008-1086","Windows","microsoft","XP"
250,"3-13671","CVE-2008-1086","Windows","microsoft","XP"
251,"3-13672","CVE-2008-1086","Windows","microsoft","XP"
252,"3-13673","CVE-2008-1086","Windows","microsoft","XP"
253,"3-13674","CVE-2008-1086","Windows","microsoft","XP"
254,"3-13675","CVE-2008-1086","Windows","microsoft","XP"
255,"3-13676","CVE-2008-1087","Windows","microsoft","XP"
256,"3-13773","CVE-2006-2444","Linux","linux","2.6"
257,"3-13825","CVE-2008-1441","Windows","microsoft","XP"
258,"3-13826","CVE-2008-1451","Windows","microsoft","2000"
259,"3-13828","CVE-2007-0675","Windows","microsoft","Vista"
260,"3-13829","CVE-2007-0675","Windows","microsoft","Vista"
261,"3-13830","CVE-2007-0675","Windows","microsoft","Vista"
262,"3-13831","CVE-2007-0675","Windows","microsoft","Vista"
263,"3-13832","CVE-2007-0675","Windows","microsoft","Vista"
264,"3-13833","CVE-2007-0675","Windows","microsoft","Vista"
265,"3-13835","CVE-2008-1445","Windows","microsoft","XP"
266,"3-13887","CVE-2008-1454","Windows","microsoft","XP"
267,"3-13954","CVE-2008-2245","Windows","microsoft","XP"
268,"3-13975","CVE-2008-1457","Windows","microsoft","XP"
269,"3-13976","CVE-2008-1457","Windows","microsoft","XP"
270,"3-13977","CVE-2008-1457","Windows","microsoft","XP"
271,"3-13978","CVE-2008-1457","Windows","microsoft","XP"
272,"3-13979","CVE-2008-1457","Windows","microsoft","XP"
273,"3-14251","CVE-2008-3014","Windows","microsoft","XP"
274,"3-14255","CVE-2008-3008","Windows","microsoft","XP"
275,"3-14256","CVE-2008-3008","Windows","microsoft","XP"
276,"3-14257","CVE-2008-3008","Windows","microsoft","XP"
277,"3-14258","CVE-2008-3008","Windows","microsoft","XP"
278,"3-14259","CVE-2008-3012","Windows","microsoft","XP"
279,"3-14260","CVE-2008-3013","Windows","microsoft","XP"
280,"3-14261","CVE-2007-5348","Windows","microsoft","XP"
281,"3-14646","CVE-2008-4023","Windows","microsoft","2000"
282,"3-14647","CVE-2008-4038","Windows","microsoft","XP"
283,"3-14648","CVE-2008-4038","Windows","microsoft","XP"
284,"3-14649","CVE-2008-4038","Windows","microsoft","XP"
285,"3-14650","CVE-2008-4038","Windows","microsoft","XP"
286,"3-14651","CVE-2008-4038","Windows","microsoft","XP"
287,"3-14652","CVE-2008-4038","Windows","microsoft","XP"
288,"3-14653","CVE-2008-4038","Windows","microsoft","XP"
289,"3-14654","CVE-2008-4038","Windows","microsoft","XP"
290,"3-14709","CVE-2008-1446","Windows","microsoft","XP"
291,"3-14710","CVE-2008-1446","Windows","microsoft","XP"
292,"3-14711","CVE-2008-1446","Windows","microsoft","XP"
293,"3-14712","CVE-2008-1446","Windows","microsoft","XP"
294,"3-14713","CVE-2008-1446","Windows","microsoft","XP"
295,"3-14714","CVE-2008-1446","Windows","microsoft","XP"
296,"3-14715","CVE-2008-1446","Windows","microsoft","XP"
297,"3-14716","CVE-2008-1446","Windows","microsoft","XP"
298,"3-14717","CVE-2008-1446","Windows","microsoft","XP"
299,"3-14718","CVE-2008-1446","Windows","microsoft","XP"
300,"3-14719","CVE-2008-1446","Windows","microsoft","XP"
301,"3-14720","CVE-2008-1446","Windows","microsoft","XP"
302,"3-14721","CVE-2008-1446","Windows","microsoft","XP"
303,"3-14722","CVE-2008-1446","Windows","microsoft","XP"
304,"3-14723","CVE-2008-1446","Windows","microsoft","XP"
305,"3-14724","CVE-2008-1446","Windows","microsoft","XP"
306,"3-14725","CVE-2008-3479","Windows","microsoft","2000"
307,"3-14726","CVE-2008-3479","Windows","microsoft","2000"
308,"3-14727","CVE-2008-3479","Windows","microsoft","2000"
309,"3-14728","CVE-2008-3479","Windows","microsoft","2000"
310,"3-14729","CVE-2008-3479","Windows","microsoft","2000"
311,"3-14730","CVE-2008-3479","Windows","microsoft","2000"
312,"3-14731","CVE-2008-3479","Windows","microsoft","2000"
313,"3-14732","CVE-2008-3479","Windows","microsoft","2000"
314,"3-14733","CVE-2008-3479","Windows","microsoft","2000"
315,"3-14734","CVE-2008-3479","Windows","microsoft","2000"
316,"3-14735","CVE-2008-3479","Windows","microsoft","2000"
317,"3-14736","CVE-2008-3479","Windows","microsoft","2000"
318,"3-14782","CVE-2008-4250","Windows","microsoft","XP"
319,"3-14783","CVE-2008-4250","Windows","microsoft","XP"
320,"3-14784","CVE-2008-4250","Windows","microsoft","XP"
321,"3-14785","CVE-2008-4250","Windows","microsoft","XP"
322,"3-14786","CVE-2008-4250","Windows","microsoft","XP"
323,"3-14787","CVE-2008-4250","Windows","microsoft","XP"
324,"3-14788","CVE-2008-4250","Windows","microsoft","XP"
325,"3-14789","CVE-2008-4250","Windows","microsoft","XP"
326,"3-14790","CVE-2008-4250","Windows","microsoft","XP"
327,"3-14791","CVE-2008-4250","Windows","microsoft","XP"
328,"3-14792","CVE-2008-4250","Windows","microsoft","XP"
329,"3-14793","CVE-2008-4250","Windows","microsoft","XP"
330,"3-14794","CVE-2008-4250","Windows","microsoft","XP"
331,"3-14795","CVE-2008-4250","Windows","microsoft","XP"
332,"3-14796","CVE-2008-4250","Windows","microsoft","XP"
333,"3-14797","CVE-2008-4250","Windows","microsoft","XP"
334,"3-14798","CVE-2008-4250","Windows","microsoft","XP"
335,"3-14799","CVE-2008-4250","Windows","microsoft","XP"
336,"3-14800","CVE-2008-4250","Windows","microsoft","XP"
337,"3-14801","CVE-2008-4250","Windows","microsoft","XP"
338,"3-14802","CVE-2008-4250","Windows","microsoft","XP"
339,"3-14803","CVE-2008-4250","Windows","microsoft","XP"
340,"3-14804","CVE-2008-4250","Windows","microsoft","XP"
341,"3-14805","CVE-2008-4250","Windows","microsoft","XP"
342,"3-14806","CVE-2008-4250","Windows","microsoft","XP"
343,"3-14807","CVE-2008-4250","Windows","microsoft","XP"
344,"3-14808","CVE-2008-4250","Windows","microsoft","XP"
345,"3-14809","CVE-2008-4250","Windows","microsoft","XP"
346,"3-14810","CVE-2008-4250","Windows","microsoft","XP"
347,"3-14811","CVE-2008-4250","Windows","microsoft","XP"
348,"3-14812","CVE-2008-4250","Windows","microsoft","XP"
349,"3-14813","CVE-2008-4250","Windows","microsoft","XP"
350,"3-14814","CVE-2008-4250","Windows","microsoft","XP"
351,"3-14815","CVE-2008-4250","Windows","microsoft","XP"
352,"3-14816","CVE-2008-4250","Windows","microsoft","XP"
353,"3-14817","CVE-2008-4250","Windows","microsoft","XP"
354,"3-14818","CVE-2008-4250","Windows","microsoft","XP"
355,"3-14819","CVE-2008-4250","Windows","microsoft","XP"
356,"3-14820","CVE-2008-4250","Windows","microsoft","XP"
357,"3-14821","CVE-2008-4250","Windows","microsoft","XP"
358,"3-14822","CVE-2008-4250","Windows","microsoft","XP"
359,"3-14823","CVE-2008-4250","Windows","microsoft","XP"
360,"3-14824","CVE-2008-4250","Windows","microsoft","XP"
361,"3-14825","CVE-2008-4250","Windows","microsoft","XP"
362,"3-14826","CVE-2008-4250","Windows","microsoft","XP"
363,"3-14827","CVE-2008-4250","Windows","microsoft","XP"
364,"3-14828","CVE-2008-4250","Windows","microsoft","XP"
365,"3-14829","CVE-2008-4250","Windows","microsoft","XP"
366,"3-14830","CVE-2008-4250","Windows","microsoft","XP"
367,"3-14831","CVE-2008-4250","Windows","microsoft","XP"
368,"3-14832","CVE-2008-4250","Windows","microsoft","XP"
369,"3-14833","CVE-2008-4250","Windows","microsoft","XP"
370,"3-14834","CVE-2008-4250","Windows","microsoft","XP"
371,"3-14835","CVE-2008-4250","Windows","microsoft","XP"
372,"3-14836","CVE-2008-4250","Windows","microsoft","XP"
373,"3-14837","CVE-2008-4250","Windows","microsoft","XP"
374,"3-14838","CVE-2008-4250","Windows","microsoft","XP"
375,"3-14839","CVE-2008-4250","Windows","microsoft","XP"
376,"3-14840","CVE-2008-4250","Windows","microsoft","XP"
377,"3-14841","CVE-2008-4250","Windows","microsoft","XP"
378,"3-14842","CVE-2008-4250","Windows","microsoft","XP"
379,"3-14843","CVE-2008-4250","Windows","microsoft","XP"
380,"3-14844","CVE-2008-4250","Windows","microsoft","XP"
381,"3-14845","CVE-2008-4250","Windows","microsoft","XP"
382,"3-14846","CVE-2008-4250","Windows","microsoft","XP"
383,"3-14847","CVE-2008-4250","Windows","microsoft","XP"
384,"3-14848","CVE-2008-4250","Windows","microsoft","XP"
385,"3-14849","CVE-2008-4250","Windows","microsoft","XP"
386,"3-14850","CVE-2008-4250","Windows","microsoft","XP"
387,"3-14851","CVE-2008-4250","Windows","microsoft","XP"
388,"3-14852","CVE-2008-4250","Windows","microsoft","XP"
389,"3-14853","CVE-2008-4250","Windows","microsoft","XP"
390,"3-14854","CVE-2008-4250","Windows","microsoft","XP"
391,"3-14855","CVE-2008-4250","Windows","microsoft","XP"
392,"3-14856","CVE-2008-4250","Windows","microsoft","XP"
393,"3-14857","CVE-2008-4250","Windows","microsoft","XP"
394,"3-14858","CVE-2008-4250","Windows","microsoft","XP"
395,"3-14859","CVE-2008-4250","Windows","microsoft","XP"
396,"3-14860","CVE-2008-4250","Windows","microsoft","XP"
397,"3-14861","CVE-2008-4250","Windows","microsoft","XP"
398,"3-14862","CVE-2008-4250","Windows","microsoft","XP"
399,"3-14863","CVE-2008-4250","Windows","microsoft","XP"
400,"3-14864","CVE-2008-4250","Windows","microsoft","XP"
401,"3-14865","CVE-2008-4250","Windows","microsoft","XP"
402,"3-14866","CVE-2008-4250","Windows","microsoft","XP"
403,"3-14867","CVE-2008-4250","Windows","microsoft","XP"
404,"3-14868","CVE-2008-4250","Windows","microsoft","XP"
405,"3-14869","CVE-2008-4250","Windows","microsoft","XP"
406,"3-14870","CVE-2008-4250","Windows","microsoft","XP"
407,"3-14871","CVE-2008-4250","Windows","microsoft","XP"
408,"3-14872","CVE-2008-4250","Windows","microsoft","XP"
409,"3-14873","CVE-2008-4250","Windows","microsoft","XP"
410,"3-14874","CVE-2008-4250","Windows","microsoft","XP"
411,"3-14875","CVE-2008-4250","Windows","microsoft","XP"
412,"3-14876","CVE-2008-4250","Windows","microsoft","XP"
413,"3-14877","CVE-2008-4250","Windows","microsoft","XP"
414,"3-14878","CVE-2008-4250","Windows","microsoft","XP"
415,"3-14879","CVE-2008-4250","Windows","microsoft","XP"
416,"3-14880","CVE-2008-4250","Windows","microsoft","XP"
417,"3-14881","CVE-2008-4250","Windows","microsoft","XP"
418,"3-14882","CVE-2008-4250","Windows","microsoft","XP"
419,"3-14883","CVE-2008-4250","Windows","microsoft","XP"
420,"3-14884","CVE-2008-4250","Windows","microsoft","XP"
421,"3-14885","CVE-2008-4250","Windows","microsoft","XP"
422,"3-14886","CVE-2008-4250","Windows","microsoft","XP"
423,"3-14887","CVE-2008-4250","Windows","microsoft","XP"
424,"3-14888","CVE-2008-4250","Windows","microsoft","XP"
425,"3-14889","CVE-2008-4250","Windows","microsoft","XP"
426,"3-14890","CVE-2008-4250","Windows","microsoft","XP"
427,"3-14891","CVE-2008-4250","Windows","microsoft","XP"
428,"3-14892","CVE-2008-4250","Windows","microsoft","XP"
429,"3-14893","CVE-2008-4250","Windows","microsoft","XP"
430,"3-14894","CVE-2008-4250","Windows","microsoft","XP"
431,"3-14895","CVE-2008-4250","Windows","microsoft","XP"
432,"3-15015","CVE-2008-4250","Windows","microsoft","XP"
433,"3-15016","CVE-2008-4250","Windows","microsoft","XP"
434,"3-15017","CVE-2008-4250","Windows","microsoft","XP"
435,"3-15018","CVE-2008-4250","Windows","microsoft","XP"
436,"3-15019","CVE-2008-4250","Windows","microsoft","XP"
437,"3-15020","CVE-2008-4250","Windows","microsoft","XP"
438,"3-15021","CVE-2008-4250","Windows","microsoft","XP"
439,"3-15022","CVE-2008-4250","Windows","microsoft","XP"
440,"3-15023","CVE-2008-4250","Windows","microsoft","XP"
441,"3-15024","CVE-2008-4250","Windows","microsoft","XP"
442,"3-15025","CVE-2008-4250","Windows","microsoft","XP"
443,"3-15026","CVE-2008-4250","Windows","microsoft","XP"
444,"3-15027","CVE-2008-4250","Windows","microsoft","XP"
445,"3-15028","CVE-2008-4250","Windows","microsoft","XP"
446,"3-15029","CVE-2008-4250","Windows","microsoft","XP"
447,"3-15030","CVE-2008-4250","Windows","microsoft","XP"
448,"3-15031","CVE-2008-4250","Windows","microsoft","XP"
449,"3-15032","CVE-2008-4250","Windows","microsoft","XP"
450,"3-15033","CVE-2008-4250","Windows","microsoft","XP"
451,"3-15034","CVE-2008-4250","Windows","microsoft","XP"
452,"3-15035","CVE-2008-4250","Windows","microsoft","XP"
453,"3-15036","CVE-2008-4250","Windows","microsoft","XP"
454,"3-15037","CVE-2008-4250","Windows","microsoft","XP"
455,"3-15038","CVE-2008-4250","Windows","microsoft","XP"
456,"3-15039","CVE-2008-4250","Windows","microsoft","XP"
457,"3-15040","CVE-2008-4250","Windows","microsoft","XP"
458,"3-15041","CVE-2008-4250","Windows","microsoft","XP"
459,"3-15042","CVE-2008-4250","Windows","microsoft","XP"
460,"3-15043","CVE-2008-4250","Windows","microsoft","XP"
461,"3-15044","CVE-2008-4250","Windows","microsoft","XP"
462,"3-15045","CVE-2008-4250","Windows","microsoft","XP"
463,"3-15046","CVE-2008-4250","Windows","microsoft","XP"
464,"3-15047","CVE-2008-4250","Windows","microsoft","XP"
